,움직임(z축 X)_1,움직임(z축 X)_0
820,2.464,1.987
821,2.392,1.994
822,2.405,1.992
823,2.41,2.225
824,2.487,2.179
825,2.49,2.332
826,2.417,2.011
827,2.422,2.831
828,2.422,2.756
829,2.422,2.68
830,2.426,2.349
831,2.432,2.228
832,2.639,2.493
833,2.635,2.507
834,2.769,2.239
835,2.633,1.996
836,2.38,2.009
837,2.384,2.391
838,2.39,2.633
839,2.424,2.795
840,2.502,2.297
841,2.422,2.205
842,3.059,2.03
843,2.443,2.142
844,2.488,2.105
845,3.458,2.352
846,2.701,2.81
847,3.159,2.116
848,2.627,2.406
849,2.782,2.133
850,2.646,2.148
851,3.15,2.203
852,2.572,2.156
853,2.688,2.114
854,2.553,2.34
855,2.616,2.034
856,2.362,2.046
857,2.368,2.176
858,2.739,1.964
859,2.831,1.963
860,2.792,2.378
861,2.891,3.001
862,2.842,2.019
863,2.695,1.941
864,2.605,2.055
865,2.533,2.678
866,2.51,2.751
867,2.616,2.536
868,2.483,2.768
869,2.613,2.517
870,2.616,2.525
871,2.585,2.547
872,2.601,2.551
873,2.591,2.509
874,2.581,2.548
875,2.581,2.636
876,2.855,2.527
877,2.543,2.64
878,2.582,2.664
879,2.585,2.678
880,2.595,2.732
881,2.558,3.567
882,2.552,3.552
883,2.557,2.682
884,2.56,2.321
885,2.59,2.307
886,2.805,2.288
887,2.723,2.401
888,2.565,2.849
889,2.81,2.525
890,2.555,2.769
891,2.539,2.495
892,2.558,2.541
893,2.585,2.615
894,2.579,2.544
895,2.576,2.465
896,2.598,2.482
897,2.646,2.475
898,2.19,2.516
899,2.054,2.569
900,2.02,2.729
901,1.972,2.674
902,2.002,2.745
903,2.106,2.407
904,2.036,2.317
905,2.061,2.366
906,2.073,2.331
907,2.361,2.318
908,2.221,2.407
909,2.353,2.573
910,2.895,2.35
911,2.8,2.398
912,2.714,2.351
913,2.651,2.457
914,2.635,2.416
915,2.867,2.312
916,2.366,2.375
917,2.385,2.317
918,2.648,2.328
919,2.226,2.399
920,2.246,2.762
921,2.183,2.583
922,2.688,3.137
923,2.373,2.24
924,2.206,2.223
925,2.16,2.241
926,2.203,2.247
927,2.449,2.202
928,2.523,2.197
929,2.436,2.188
930,2.266,2.441
931,2.077,2.216
932,2.638,2.259
933,2.457,2.271
934,2.456,2.243
935,2.064,2.268
936,2.072,2.242
937,2.232,2.281
938,2.051,2.243
939,2.261,2.281
940,2.057,2.305
941,2.09,2.266
942,3.031,2.292
943,2.252,2.241
944,2.1,2.229
945,2.231,2.226
946,2.139,2.275
947,2.04,2.264
948,2.056,2.263
949,2.023,2.273
950,2.761,2.278
951,2.306,2.58
952,2.612,2.303
953,2.436,2.268
954,2.353,2.232
955,2.889,2.285
956,2.694,2.418
957,2.734,2.211
958,3.397,2.272
959,2.968,2.536
960,2.005,2.237
961,2.003,2.254
962,2.005,2.184
963,1.991,2.256
964,3.62,2.778
965,2.516,2.668
966,3.024,2.731
967,2.656,2.765
968,2.571,2.753
969,2.553,2.747
970,2.519,2.733
971,2.525,2.579
972,2.521,2.757
973,2.56,2.789
974,2.56,2.731
975,2.785,2.732
976,2.631,2.694
977,2.531,2.723
978,2.438,2.663
979,2.444,2.743
980,2.611,2.728
981,2.609,2.729
982,2.615,3.266
983,2.434,2.84
984,2.435,2.76
985,2.501,2.807
986,2.434,2.571
987,2.434,2.374
988,3.074,2.43
989,2.762,2.382
990,2.743,2.371
991,2.538,2.442
